Statistical profiling result from info-v8.log, (2971 ticks, 56 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      1    0.0%    0.0%  JS: ^validateEncoding node:internal/validators:366:26
      1    0.0%    0.0%  JS: ^update node:internal/crypto/hash:99:40
      1    0.0%    0.0%  JS: ^stringifyFnReplacer /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/safe-stable-stringify/index.js:230:32
      1    0.0%    0.0%  JS: ^store.generate /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/express-session/index.js:158:28
      1    0.0%    0.0%  JS: ^step /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/express-handlebars/dist/express-handlebars.js:31:18
      1    0.0%    0.0%  JS: ^set expires /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/express-session/session/cookie.js:60:14
      1    0.0%    0.0%  JS: ^ret._setup /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/handlebars/dist/cjs/handlebars/runtime.js:217:25
      1    0.0%    0.0%  JS: ^resolve node:path:1095:10
      1    0.0%    0.0%  JS: ^readdir node:fs:1407:17
      1    0.0%    0.0%  JS: ^readPackageScope node:internal/modules/cjs/loader:377:26
      1    0.0%    0.0%  JS: ^readFileAfterStat node:fs:327:27
      1    0.0%    0.0%  JS: ^popAsyncContext node:internal/async_hooks:555:25
      1    0.0%    0.0%  JS: ^parserOnIncoming node:_http_server:961:26
      1    0.0%    0.0%  JS: ^parserOnHeadersComplete node:_http_common:72:33
      1    0.0%    0.0%  JS: ^onwrite /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/readable-stream/lib/_stream_writable.js:444:17
      1    0.0%    0.0%  JS: ^next /Users/kuro/Documentos/coderhouse_curso/coderhouse_backend/coderhouse-backend/desafios/14/node_modules/express/lib/router/index.js:177:16
      1    0.0%    0.0%  JS: ^newAsyncId node:internal/async_hooks:418:20
      1    0.0%    0.0%  JS: ^maybeCallback node:fs:176:23
